density_var,var,exp,center,model,member,size_mb,finite_frac,status
sigma_1,dissic,1pctCO2,CCCma,CanESM5-CanOE,r1i1p2f1,1122.7,0.3913,ok
sigma_1,dissic,1pctCO2,CCCma,CanESM5,r1i1p1f1,1124.9,0.3863,ok
sigma_1,dissic,1pctCO2,CCCma,CanESM5,r1i1p2f1,1130.9,0.3913,ok
sigma_1,dissic,1pctCO2,CCCma,CanESM5,r2i1p1f1,1133.5,0.3912,ok
sigma_1,dissic,1pctCO2,CCCma,CanESM5,r2i1p2f1,1131.6,0.3888,ok
sigma_1,dissic,1pctCO2,CCCma,CanESM5,r3i1p1f1,1135.7,0.3916,ok
sigma_1,dissic,1pctCO2,CCCma,CanESM5,r3i1p2f1,1133.9,0.3923,ok
sigma_1,dissic,1pctCO2,CMCC,CMCC-ESM2,r1i1p1f1,1259.7,0.4,ok
sigma_1,dissic,1pctCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1141.8,0.4043,ok
sigma_1,dissic,1pctCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,4.5,0.0,corrupt
sigma_1,dissic,1pctCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1157.0,0.3881,ok
sigma_1,dissic,1pctCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,1091.1,0.3872,ok
sigma_1,dissic,1pctCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,1152.7,0.4078,ok
sigma_1,dissic,1pctCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,1144.7,0.4022,ok
sigma_1,dissic,1pctCO2,MIROC,MIROC-ES2L,r1i1p1f2,1131.0,0.4066,ok
sigma_1,dissic,1pctCO2,MOHC,UKESM1-0-LL,r1i1p1f2,1134.9,0.4021,ok
sigma_1,dissic,1pctCO2,MOHC,UKESM1-0-LL,r2i1p1f2,1142.8,0.4066,ok
sigma_1,dissic,1pctCO2,MOHC,UKESM1-0-LL,r3i1p1f2,1152.1,0.4117,ok
sigma_1,dissic,1pctCO2,MOHC,UKESM1-0-LL,r4i1p1f2,1157.2,0.4147,ok
sigma_1,dissic,1pctCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1257.8,0.3829,ok
sigma_1,dissic,1pctCO2,MRI,MRI-ESM2-0,r1i2p1f1,1153.6,0.4068,ok
sigma_1,dissic,1pctCO2,NCC,NorESM2-LM,r1i1p1f1,1157.6,0.3941,ok
sigma_1,dissic,1pctCO2,NOAA-GFDL,GFDL-CM4,r1i1p1f1,1173.0,0.3885,ok
sigma_1,dissic,abrupt-4xCO2,CCCma,CanESM5,r1i1p1f1,1149.4,0.3987,ok
sigma_1,dissic,abrupt-4xCO2,CCCma,CanESM5,r1i1p2f1,1150.9,0.4011,ok
sigma_1,dissic,abrupt-4xCO2,CMCC,CMCC-ESM2,r1i1p1f1,1243.6,0.3952,ok
sigma_1,dissic,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,1143.6,0.4068,ok
sigma_1,dissic,abrupt-4xCO2,CNRM-CERFACS,CNRM-ESM2-1,r3i1p1f2,1133.6,0.4028,ok
sigma_1,dissic,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r1i1p1f1,1140.0,0.3902,ok
sigma_1,dissic,abrupt-4xCO2,CSIRO,ACCESS-ESM1-5,r2i1p1f1,6844.1,0.3496,ok
sigma_1,dissic,abrupt-4xCO2,HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,1141.5,0.3829,ok
sigma_1,dissic,abrupt-4xCO2,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,1084.6,0.3867,ok
sigma_1,dissic,abrupt-4xCO2,IPSL,IPSL-CM6A-LR,r1i1p1f1,6109.9,0.3669,ok
sigma_1,dissic,abrupt-4xCO2,IPSL,IPSL-CM6A-MR1,r1i1p1f1,1142.3,0.4021,ok
sigma_1,dissic,abrupt-4xCO2,MIROC,MIROC-ES2L,r1i1p1f2,1099.3,0.3943,ok
sigma_1,dissic,abrupt-4xCO2,MOHC,UKESM1-0-LL,r1i1p1f2,1144.8,0.4079,ok
sigma_1,dissic,abrupt-4xCO2,MPI-M,MPI-ESM1-2-HR,r1i1p1f1,1295.1,0.3915,ok
sigma_1,dissic,abrupt-4xCO2,MPI-M,MPI-ESM1-2-LR,r1i1p1f1,1242.6,0.3774,ok
sigma_1,dissic,abrupt-4xCO2,MRI,MRI-ESM2-0,r1i2p1f1,1151.8,0.4099,ok
sigma_1,dissic,abrupt-4xCO2,NCC,NorESM2-LM,r1i1p1f1,3424.5,0.3513,ok
sigma_1,dissic,abrupt-4xCO2,NOAA-GFDL,GFDL-ESM4,r1i1p1f1,1149.5,0.3881,ok
sigma_1,so,1pctCO2,BCC,BCC-CSM2-MR,r1i1p1f1,968.9,0.369,ok
